Location,Confirmed Cases,Deaths,Recovered,spanish_name
Alabama,7294,289,0,Alabama
Alaska,364,9,0,Alaska
Arizona,7969,330,0,Arizona
Arkansas,3310,64,0,Arkansas
California,52238,2136,0,California
Colorado,15793,821,0,Colorado
Connecticut,28764,2339,0,Connecticut
Delaware,4918,159,0,Delaware
District of Columbia,4658,231,0,Washington D.C.
Florida,34728,1314,0,Florida
Georgia,27733,1169,0,Georgia
Guam,145,5,0,Guam
Hawaii,619,16,0,Hawái
Idaho,2035,63,0,Idaho
Illinois,56055,2457,0,Illinois
Indiana,18630,1175,0,Indiana
Iowa,7884,170,0,Iowa
Kansas,4634,140,0,Kansas
Kentucky,4879,248,0,Kentucky
Louisiana,28711,1970,0,Luisiana
Maine,1123,55,0,Maine
Maryland,23472,1192,0,Maryland
Massachusetts,64311,3716,0,Massachusetts
Michigan,42356,3866,0,Míchigan
Minnesota,5730,370,0,Minnesota
Mississippi,7212,281,0,Misisipi
Missouri,8078,360,0,Misuri
Montana,453,16,0,Montana
Nebraska,5008,73,0,Nebraska
Nevada,5248,246,0,Nevada
New Hampshire,2310,81,0,Nuevo Hampshire
New Jersey,121190,7538,0,Nueva Jersey
New Mexico,3513,131,0,Nuevo México
New York,308314,24039,0,Nueva York
North Carolina,11070,419,0,Carolina del Norte
North Dakota,1107,23,0,Dakota del Norte
Northern Mariana Islands,14,2,0,Islas Marianas del Norte
Ohio,18743,1003,0,Ohio
Oklahoma,3748,230,0,Oklahoma
Oregon,2579,104,0,Oregón
Pennsylvania,49579,2635,0,Pensilvania
Puerto Rico,1757,95,0,Puerto Rico
Rhode Island,8962,279,0,Rhode Island
South Carolina,6258,256,0,Carolina del Sur
South Dakota,2525,21,0,Dakota del Sur
Tennessee,11891,204,0,Tennessee
Texas,29937,841,0,Texas
Utah,4828,46,0,Utah
Vermont,879,50,0,Vermont
Virgin Islands,66,4,0,Islas Virgenes
Virginia,16902,581,0,Virginia
Washington,14637,824,0,Washington
West Virginia,1152,46,0,Virginia Occidental
Wisconsin,7314,327,0,Wisconsin
Wyoming,566,7,0,Wyoming
